Price	Size	Season	waiseline	Pattern Type	Recommendation
Low	M	Summer	empire	animal	1
Low	L	Summer	natural	animal	0
High	L	Automn	natural	print	0
Average	L	Spring	natural	print	1
Low	M	Summer	natural	dot	0
Low	M	Summer	empire	print	0
Average	XL	Summer	null	solid	0
Average	free	Automn	natural	null	0
Average	free	Spring	empire	solid	1
Low	free	Summer	natural	null	1
Average	free	Summer	natural	solid	0
Average	free	Spring	null	animal	0
Low	M	Winter	null	print	1
Average	M	Summer	empire	animal	1
Low	M	Summer	null	solid	0
Average	L	spring	null	solid	1
Medium	free	Automn	natural	patchwork	1
Average	M	Winter	natural	patchwork	0
Average	M	Automn	empire	null	1
Average	L	Automn	null	solid	0
Low	M	Summer	natural	solid	0
Low	XL	Summer	natural	solid	0
Average	S	Summer	empire	solid	1
Average	free	Automn	natural	patchwork	0
Average	M	Automn	empire	print	0
Average	M	Spring	natural	solid	1
Low	L	Summer	natural	print	0
Low	free	Automn	natural	striped	0
Low	M	Spring	empire	dot	1
Average	L	Automn	empire	solid	0
Low	M	Spring	natural	solid	1
Average	L	Automn	natural	animal	0
Average	L	Spring	empire	solid	1
High	M	Spring	null	print	0
Low	free	Winter	natural	patchwork	1
